Name,Designation,RA,Dec,Jmag,J_unc,Hmag,H_unc,Kmag,K_unc,W1,W1_unc,W2,W2_unc,W3,W3_unc,W4,W4_unc,Spectral Type,Spectra (FITS),Opt Spec Refs,NIR Spec Refs,pm_ra (mas),pm_ra_unc,pm_dec (mas),pm_dec_unc,pi (mas),pi_unc,radial velocity (km/s),rv_unc,Astrometry Refs,Discovery Refs,Group/Age,Note
,15 52 59.06 +29 48 48.5,238.24608,29.81,13.48,0.03,12.61,0.03,12.02,0.03,11.54,0.02,11.21,0.02,10.66,0.05,9.0,,L0β,,Cruz et al. 2009,,-0.157,0.02,-0.051,0.02,,,,,Faherty et al. 2009,Wilson et al. 2003,,
,00 32 55.84 -44 05 05.8,8.23267,-44.08,14.78,0.04,13.86,0.03,13.27,0.04,12.82,0.03,12.49,0.03,11.73,0.19,9.29,,L0γ,,Cruz et al. 2009,,0.1178,0.0043,-0.0916,0.0043,38.4,4.8,,,Faherty et al. 2012,Reid et al. 2008,,
,00 37 43.06 -58 46 22.9,9.42942,-58.77,15.37,0.05,14.26,0.05,13.59,0.05,13.13,0.03,12.74,0.03,12.56,0.38,9.32,,L0γ,,Cruz et al. 2009,,0.049,0.01,-0.051,0.02,,,,,Faherty et al. 2009,Reid et al. 2008,,
,01 24 45.99 -57 45 37.9,21.19163,-57.76,16.31,0.11,15.06,0.09,14.32,0.09,13.77,0.03,13.34,0.03,12.45,0.31,8.91,,L0γ,,Cruz et al. 2009,,-0.003,0.01,0.018,0.019,,,,,Faherty et al. 2009,Reid et al. 2008,,
,01 41 58.23 -46 33 57.4,25.49263,-46.57,14.83,0.04,13.88,0.03,13.1,0.03,12.55,0.02,12.17,0.02,11.92,0.21,9.24,,L0γ,,Cruz et al. 2009,Kirkpatrick et al. 2006,0.104,0.017,-0.026,0.024,,,,,Faherty et al. 2009,Kirkpatrick06,,
,02 23 54.64 -58 15 06.7,35.97767,-58.25,15.07,0.05,14.0,0.04,13.42,0.04,12.82,0.02,12.43,0.02,11.64,0.15,9.47,,L0γ,,Cruz et al. 2009,,0.134,0.01,0.005,0.019,,,,,Faherty et al. 2009,Reid et al. 2008,,
,02 34 00.93 -64 42 06.8,38.50388,-64.7,15.33,0.06,14.44,0.06,13.85,0.07,13.25,0.03,12.91,0.03,12.62,0.28,9.49,,L0γ,,Kirkpatrick et al. 2010,,,,,,,,,,,Kirkpatrick et al. 2010,,
,02 41 11.5 -03 26 58,40.29797,-3.45,15.8,0.07,14.81,0.05,14.04,0.05,13.64,0.03,13.26,0.03,12.77,0.42,9.0,,L0γ,,Cruz et al. 2009,,,,,,,,,,,Cruz et al. 2007,,
,03 23 10.02 -46 31 23.7,50.79175,-46.52,15.39,0.07,14.32,0.06,13.7,0.05,13.08,0.02,12.67,0.02,11.94,0.16,9.18,,L0γ,,Cruz et al. 2009,,0.06,0.013,-0.01,0.019,,,,,Faherty et al. 2009,Reid et al. 2008,,
,22 13 44.9 -21 36 07,333.43715,-21.6,15.38,0.04,14.4,0.06,13.76,0.04,13.23,0.03,12.83,0.03,11.55,0.2,9.07,,L0γ,,Cruz et al. 2009,,0.06,0.011,-0.063,0.017,,,,,Faherty et al. 2009,Cruz et al. 2007,,
